Move     SAN         SF cp   lc0 cp   Black░░░░░░┼██████White
41…      a5          +0.24    -0.07   ────────────────┼───────────────
42.      Rg3         +0.18    -0.07   ────────────────┼───────────────
42…      a4          +0.30    -0.07   ────────────────█───────────────
43.      f6          +0.30    +0.19   ────────────────█───────────────
43…      gxf6        +5.32    +0.24   ────────────────████████████████
44.      Reg8        +5.95    +0.58   ────────────────████████████████
44…      h5         +99.94    +0.83   ────────────────████████████████
45.      R3g7+      +99.95    +0.47   ────────────────████████████████
45…      Kh6        +99.95    +0.94   ────────────────████████████████
46.      exf6       +99.96   +25.61   ────────────────████████████████
46…      Rc8        +99.96   +45.64   ────────────────████████████████
47.      Rxc8       +99.98  +116.95   ────────────────████████████████
47…      Rxg2+      +99.98   +97.62   ────────────────████████████████
48.      Kxg2       +99.99  +121.24   ────────────────████████████████
48…      a3         +99.99  +126.21   ────────────────████████████████
49.      Rh8#     +10000.00 +10000.00   ────────────────████████████████
